username,date,review_content,purchase_point,recommend,rating,jenis_produk,trend,age_category,periode_penggunaan,skintype,skintone,undertone
almiraa,2024-09-26,"satu satunya sunscreen yang cocok banget dan ga bikin minyakan di wajah aku yang super duper susah banget nyari sunscreen yang cocok, dia lightweight gampang banget di blend dan cepet nyerep juga, minusnya kadang suka bikin kering dan ketarik, tapi overall baguss",Shopee,almiraa recommends this product!,4,Azarine Calm My Acne Sunscreen Moisturizer,39,dewasa muda,Jangka Panjang,Combination,Medium Light,Neutral
khoirinida,2024-09-26,"Sunscreen spf 50 yg ringan, no whitecast, ga kerasa berat. Di wajah juga ga lengket dan gampang nyerepnya! Udah repurchase ini berkali2, harga juga masih terjangkau bgtttt. Btw kulit aku normal to oily, pake ini cocok2 aja. Sampe skrg blm pindah ss yg lain sih",Shopee,khoirinida recommends this product!,5,Azarine Hydramax C Sunscreen Serum,39,dewasa muda,Jangka Menengah,Combination,Medium,Warm
Alkadiena,2024-09-26,"Produk tidak lengket, tidak whitecase, nyaman, cocok untuk kulitku yang kemerahan dan berminyak, harga terjangkau, banyak pilihan untul jenik kulit, kemasan juga mudah dibawa kemana mana mau pakai tas kecil atau tas besar, reaplly mudah💕",Traditional Market,Alkadiena recommends this product!,5,Azarine Hydrashoote Sunscreen Gel,39,dewasa muda,Jangka Menengah,Oily,Medium,Neutral
rinasusila13,2024-09-26,"beliin ss ini buat suami lumayan ringan harga juga murah ya intinya mesti apply sering sih kaya suami aku yg kadang kerja outdoor dan indor gt, so far bagus mayan bisa bersaing lah dengan seatara nya...",Shopee,rinasusila13 recommends this product!,3,Azarine Hydrashoote Sunscreen Gel,39,dewasa muda,Jangka Menengah,Combination,Medium Light,Cool
diyandita,2024-09-25,"Jujur, ini salah satu SS legend menurut aku, dulu pakai yg Hydra Shoote skrg pakai yg Calm Acne.Enak texture nya ringan BGT ga bikin closed comedo juga guys!💗Gatau udah tube ke berapa, gabisa berpaling ke SS lain kalau buat daily use",Shopee,diyandita recommends this product!,5,Azarine Calm My Acne Sunscreen Moisturizer,48,remaja,Jangka Panjang,Oily,Medium Light,Neutral
cdnz,2024-09-25,"Sunscreen ini oil control nya oke, teksturnya ringan ga bikin gerah. Beneran berasa kaya ga pake apa-apa. Minusnya, kalau aku pake 1 jari full atau agak tebel gitu lumayan lama nyerepnya, but it's okay biasanya aku kipas-kipas biar cepet nyerep. Overall, aku suka banget sama sunscreen ini, karena ga bikin muka aku berminyak.",Guardian,cdnz recommends this product!,5,Azarine Calm My Acne Sunscreen Moisturizer,48,remaja,Jangka Pendek,Combination,Medium Light,Neutral
hann_ad,2024-09-25,"Tidak menimbulkan jerawat selamat pemakaian.. ada kandungan bakuchiol tapi gak greasyEfek melembabkan sangat ada, bisa dipakai sebagai moisturizer…Sunscreen Cepat meresap ke kulit,,, biarpun dipakai setelah berlayer-layer skincare",Official Brand Store,hann_ad recommends this product!,5,Azarine Calm My Acne Sunscreen Moisturizer,48,dewasa muda,Jangka Pendek,Dry,Medium Light,Warm
wieline,2024-09-25,"Teksturnya sangat enak, tidak lengket dan tidak bikin whitecase juga, harganya sangat worth it bgt untuk pelajar dan mudah untuk dijangkau di toko manapun!! pakai ini sudah dari SMA dan sampai sekarang masih pakai, pakai nya setiap hari. love bgt💖",Traditional Market,wieline recommends this product!,5,Azarine Hydrashoote Sunscreen Gel,48,dewasa muda,Jangka Panjang,Oily,Medium Light,Cool
namiranurfaliani,2024-09-25,"Sunscreen ini menurut aku ter the best sih, karena ga bikin white case sama sekali, terus ngelembapin kulit juga, dan ga buat wajah aku iritasi. Pokoknya aku cocok banget pake produk ini sampe udh abis 5 bottle karena sakinh cocoknya sama muka aku",Brand Website,namiranurfaliani recommends this product!,5,Azarine Hydrashoote Sunscreen Gel,48,dewasa muda,Jangka Panjang,Combination,Medium Light,Neutral
starbroocks,2024-09-24,"Sunscreen tercocok, terbagus, ter affordable, pokoknya ter ter ter. Finishnya matte, gampang menyerap, dan cocok banget untuk kulit oily, acne prone skin. Gaada fragrance sama sekali, dan teksturnya mirip gel cream (?) ringan pokoknya. Untuk setelah pakai after feeling nya ga bakal kerasa berat, dan mostly setiap pakai nahan minyak lumayan bgt. Udah repurchase berkali-kali sampe gabisa diitung itu bekas tube ada berapa mungkin sekitar 10(?) karena emang sebagus itu dan udah pake dari lamaaaa. Awalnya emang coba-coba karena kok ada varian yg khusus acne, pas awal aku pakenya yang hydrasoothe. Tapi cocok banget sama yg inii, saran buat Azarine kedepannya tolong launch produk ini dengan size yg lebih besar dan isi lebih banyak donggg untuk kaum yang malas beli-beli muluuuu lovvvv ❤️❤️❤️",Murni Cosmetics Nusa Dua,starbroocks recommends this product!,5,Azarine Calm My Acne Sunscreen Moisturizer,42,dewasa muda,Jangka Menengah,Oily,Medium,Neutral
Natasya_04,2024-09-24,Sunscreen azarin salah satu myg fav ss yang aku pake. Dia miliki tekstur kaya gel. Ss nya nyaman di pake aman untuk kulit aku yg sensitif dan tipe kombinasi. Gampang nyerep dan ga menimbulkan whitecase. Harganya pun ramah di kantong anak kos,Shopee,Natasya_04 recommends this product!,5,Azarine Hydrashoote Sunscreen Gel,42,paruh baya,Jangka Pendek,Combination,Medium,Neutral
adindaptrasyh,2024-09-24,"aku nyoba ini karena kepo aja apa bedanya sama yg cream, ternyata yang gel ini itu lebih gampang di blend & nyerap terus ada cooling sensationnya setelah make, bagus buat skinprep sebelum make up dan obviously ga ada white castnya hehe, kayanya aku lebih suka yg ini sih daripada yg cream",Official Brand Store,adindaptrasyh recommends this product!,4,Azarine Hydrashoote Sunscreen Gel,42,dewasa muda,Jangka Menengah,Oily,Medium,Warm
alicslwa_,2024-09-23,"Aku suka banget sama sunscreen ini. Apalagi buat aku yang skintype nya oily, sunscreen ini sama sekali ga bikin muka jadi kilang minyak. Finish nya matte di kulit jadi mau dipake dari pagi sampe siang pun paling minyakan sedikit (which is normal). Sebenernya di awal pemakaian aku ngerasa sunscreen ini ga bikin kusam sama sekali, tapi ntah kenapa akhir² ini aku ngerasa malah jadi kusem(?) kalo misal sunscreen nya ga diset pake bedak. Aku gatau ini karena emang sunscreennya bikin kusam dari awal tapi aku ga sadar atau makin dipake malah bikin kusam. Repurchase? Masih oke",Shopee,alicslwa_ recommends this product!,5,Azarine Calm My Acne Sunscreen Moisturizer,56,remaja,Jangka Pendek,Oily,Medium,Neutral
zakiatr_,2024-09-23,"Pernah pake sekali karena ditempatku yang varian yang biasa aku beli habis. Menurutku ini oke sih, untuk kulit oily dia ga lama dalam ngeset trus ga ada whitecast juga. Kalo ditimpa make up juga aman ga bikin geser complexion asalkan tunggu kering dulu ya",Traditional Market,zakiatr_ recommends this product!,4,Azarine Calm My Acne Sunscreen Moisturizer,56,dewasa muda,Jangka Pendek,Oily,Medium Light,Cool
Ochoca95,2024-09-23,"Kalo udah bingung mau beli sunscreen apalagi, yaudah auto beli ini. Enak banget, cepet banget meresap di kulit, minim whitecast, aman gak berminyak juga kalo udah siang. Dah gak keitung berapa kali repurchase, even mamaku juga suka 😂",Shopee,Ochoca95 recommends this product!,5,Azarine Hydrashoote Sunscreen Gel,56,dewasa muda,Jangka Panjang,Combination,Medium Dark,Neutral
Citradesiani,2024-09-23,"Sunscreen gel Azarine ini enak banget dipakenya. Nggak ada white cast, dingin, cocok dipake di udara yang panas, gampang di blend dan bisa nyatu sama cushion/foundation lainnya. Rekomended sih, patut untuk di coba. Harganya juga cukup ekonomis",Shopee,Citradesiani recommends this product!,5,Azarine Hydrashoote Sunscreen Gel,56,dewasa matang,Jangka Menengah,Combination,Medium,Warm
kholifahtur81,2024-09-21,"Produk ini bagus bgt, bener"" langsung menyerap n gk white cast.. Dtambah ini khusus acne bisa menenangkan kulit yg lagi meradang.. Lembut di kulit...... Harganya jga terjangkau, gk menguras kantong.. Wort it to buy.. #MyEveryDay Make up",Tokopedia,kholifahtur81 recommends this product!,5,Azarine Calm My Acne Sunscreen Moisturizer,61,dewasa matang,Jangka Pendek,Combination,Medium Dark,Warm
istyajaa,2024-09-21,"Aku pakai produk ini dari awal kuliah dan sukak bangett... karena teksturnya sangat melembabkan di kulit aku yang kering, untuk sehari-hari juga ringan banget, dipake diatas make up juga oke, gk merusak make up diatasnya. Selain itu, setelah pemakaian cukup lama aku ngerasa kulit aku cerahan banget dan gak kusam karena produk ini ada kandungan vitamin C yang bikin kuliat aku tampak sehat dan cerah",Shopee,istyajaa recommends this product!,5,Azarine Hydramax C Sunscreen Serum,61,dewasa muda,Jangka Panjang,Dry,Medium Light,Neutral
Tia_Intan,2024-09-21,"Sunscreen Azarine ini nyaman, tidak lengket ketika diapply. Teksturnya creamy, lembut dan finishnya langsung nge-set gitu jadi kerasa nyaman banget pakenya. SPF nya 50 jadi oke banget buat dipake saat ada aktivitas outdoor, dan harganya juga terjangkau.",Shopee,Tia_Intan recommends this product!,5,Azarine Hydramax C Sunscreen Serum,61,dewasa muda,Jangka Pendek,Dry,Medium Light,Neutral
pidharully,2024-09-21,"Seneng bgt pas nemu sunscreen lokal yg gentle!🤩 beneran gada bau apapun selain bau kimia, tp ga ganggu kok, pas diapply baunya bener2 ilang.Teksturnya light lotion, superduper gampang diratain! No whitecast👍🏻 enteng bgt feelnya dan ga oily, finishnya beneran skinlike dan cepet bgt ngesetnya. Jd kalo mau pake complexion yg skin-like alias ga terlalu glowy, aku suka pake sunscreen ini.Minusnya cuma lebih pedih drpd skin aqua kalo kena mata pas kecampur keringet atau kena air waktu cuci muka.",Shopee,pidharully recommends this product!,5,Azarine Hydramax C Sunscreen Serum,61,dewasa muda,Jangka Pendek,Dry,Medium Light,Neutral
pioyuppi,2024-09-21,"Sunscreen ini sangat terjangkau dan mudah ditemukan dimana aja, yg aku suka karena mudah banget nih nyerap ke kulit jadi g nunggu waktu lama lagi buat make up, selain itu cocok di jenis kulit apapun, karena temenku yg beda jenis denganku pun juga pakai ini. Minusnya harus sering banget reapply karena cepet ilang sepertinya kena keringat atau kena air, jadi efek perlindungannya untuk jangka waktu lama kurang maksimal ya",Indomaret,pioyuppi recommends this product!,3,Azarine Hydrashoote Sunscreen Gel,61,dewasa muda,Jangka Pendek,Dry,Medium,Neutral
meimeithekid,2024-09-21,"Udah lama banget pakai ini dari jaman SMP. LOVEEEEE, matte yang nyaman di oily skin. Gak bikin breakout tpi gal bikin jerawatku mendingan juga. Pokoknya sangat status quo ini. Sayangnya dia bikin kusam kalau udah berjam-jam, tapi aku tetap bertahan karena takut mau ganti sunscreen. Ya emang minusnya itu doang sih: bikin kusam. Spf nya mantep dan riil, sekarang aku pakai skin aqua tutup ijo.",Sephora,meimeithekid recommends this product!,4,Azarine Hydrashoote Sunscreen Gel,61,remaja,Jangka Panjang,Oily,Medium Light,Warm
PattD59,2024-09-18,"Cocok bgt di aku gatau knp, pdhl buat kulit oily and berjerawat. Ngesetnya bagus bgt dan kyk ngga pake apa-apa. Di aku manfaatnya sedang"" aja, ngga yang wah gmn gitu. Melembabkannya cukup bgt, affordable",Shopee,PattD59 recommends this product!,5,Azarine Calm My Acne Sunscreen Moisturizer,63,dewasa muda,Jangka Menengah,Dry,Medium Light,Warm
pratiwisaraswati,2024-09-18,"Memutuskan coba sodaranya si ijo karena butuh vit c biar ngga kusam, and it worked! Teksturnya gel agak creamy, finishnya matte, dan gampang diblend nya. Ngga bikin gerah, kerasa pas aja gitu. Setelah pakai beberapa lama, wajah agak cerahan, suka deh!",Tokopedia,pratiwisaraswati recommends this product!,5,Azarine Hydramax C Sunscreen Serum,63,dewasa muda,Jangka Pendek,Combination,Medium,Neutral
andierrina12,2024-09-18,"sunscreen lokal yang mudah didapat di offline store, mengandung ekstrak alami yang bermanfaat bagi kulit wajah, seperti Royal Jelly untuk meningkatkan produksi kolagen, vit. c, hyaluronic acid, ceramide, dan centella asiatica.Sunscreen lokal satu ini sempat booming di berbagai media sosial berkat finishnya yang matte namun cepat meresap kekulit.sangat rekomendasi♡",Indomaret,andierrina12 recommends this product!,5,Azarine Hydrashoote Sunscreen Gel,63,dewasa muda,Jangka Menengah,Combination,Medium Light,Cool
Dellalizaa,2024-09-18,"Approve bgttt, udah 2 tahunan pake ini gapernah tergoda sama ss yang lain. Ingredients nya ga aneh-aneh dan udah cocok bgt di kulit aku, azarine juga sekarang udah banyak ngeluarin jenis sunscreen but if you ask for reccomend the answer is si hijau iniii 💚💚No complain good job azarine",Shopee,Dellalizaa recommends this product!,5,Azarine Hydrashoote Sunscreen Gel,63,dewasa muda,Jangka Panjang,Oily,Medium,Neutral
Moshimosh,2024-09-17,Pas awal buka agak skeptis sama tekstur nya karna thick. Tapi pas di apply bener bener melt dan adem + cepat meresap. Di blend juga aman banget. No whitecast! My bestt sunscreen dengan harga yg affordable dan biasanya aku juga pake ini aja untuk daily karna cukup melembabkan dan ga kusem.,Shopee,Moshimosh recommends this product!,5,Azarine Calm My Acne Sunscreen Moisturizer,57,dewasa muda,Jangka Menengah,Oily,Medium Light,Neutral
arzahra,2024-09-17,Andalan kalo kulit lagi berjerawat✨ Teksturnya lebih ringan dan lembab drpd versi hydrasoothe—direkomendasikan buat kulit berjerawat since its SPF 30 dan bisa calming redness juga. Cuma menurutku di kulitku yg dehidrasi calm my acne ini masih kurang lembab kl buat skipcare jd harus pake moist dulu 🙃,PR Package,arzahra recommends this product!,4,Azarine Calm My Acne Sunscreen Moisturizer,57,dewasa muda,Jangka Panjang,Combination,Medium Light,Neutral
arzahra,2024-09-17,"Ss Azarine terfavorite😍😍 udah ada kandungan Vitamin C yang bagus buat kulit cerah dan glowing 😙 Teksturnya gel ringan, lembab, dan satin finish—nyaman dan ga sumuk buat combi-oily skin ✨Mau dipakein makeup atau tanpa makeup sama sama cakep🧡",Tokopedia,arzahra recommends this product!,5,Azarine Hydramax C Sunscreen Serum,57,dewasa muda,Jangka Menengah,Combination,Medium Light,Neutral
najwfahr,2024-09-17,"setelah aku coba ss azarine ini, gapernah lagi aku berpaling, tekstur oke, lembab iya, harganya juga masih di kantong pelajar, tapi kalo dipake di bawah makeup kadang bikin cakey, jadi harus tunggu nge set dulu, overall i loved it",Shopee,najwfahr recommends this product!,5,Azarine Hydrashoote Sunscreen Gel,57,remaja,Jangka Panjang,Combination,Medium Light,Neutral
mphiiw,2024-09-17,Salah satu sunscreen favorit karna tidak membuat kulit berminyak selain itu mudah menyerap dan gampang di dapat di offline store.. Sudah lebih dari 6 bulan pakai sunscreen alhamdulillah tidak brakeout..,Shopee,mphiiw recommends this product!,5,Azarine Hydrashoote Sunscreen Gel,57,dewasa matang,Jangka Menengah,Oily,Medium,Neutral
anggiwpn,2024-09-16,"Udah pakai ini selama sebulan lebih, teksturnya cream bening macam gel gitu jadi ga akan bikin muka putih2 gitu, karena saat di aplikasikan dimuka dia bening gitu ada efek dingin2nya jugaa. Tidak berminyak di muka dan kl udah set jadi matte gitu.",Guardian,anggiwpn recommends this product!,5,Azarine Calm My Acne Sunscreen Moisturizer,74,dewasa muda,Jangka Pendek,Oily,Medium Light,Neutral
Ekahnf04,2024-09-16,"Sunscreennya ngga bikin kusam dan nyaman banget dipake😍, ngga bikin muka jd oily dan ngga bikin kering jugaa super ringannRecommended bgt untuk kalian yg baru mau nyobain suncreen, aku udh pake sebulanan dan bruntusan jd berkurang, luvvvv bgtt bgttt",FD Try and Review,Ekahnf04 recommends this product!,5,Azarine Hydrashoote Sunscreen Gel,74,dewasa muda,Jangka Pendek,Normal,Medium,Neutral
luthfiahrnr_,2024-09-10,pas awal produk nya dikeluarin teksturnya kayak agak thick tapi setelah di blend jadi ringan dan nyaman banget. untuk merawat jerawat aku ngga terlalu merhatiin tapi emang calming kemerahan di kulitku. gaada whitecast dan nyatu bgt sama makeup.,mitufaya,luthfiahrnr_ recommends this product!,4,Azarine Calm My Acne Sunscreen Moisturizer,59,dewasa muda,Jangka Pendek,Combination,Medium,Neutral
Julyblue,2024-09-10,"Teksturnya gel jadi cocok buat yang nyari sunscreen tapi gampang nyerap, as honest review azarine in agak perih Dimata apalagi pas kena air atau keringet, mata aku yang sensitif langsung kelabakan. Jadi ngga aku Purchase lagi karena kurang cocok",Shopee,Julyblue doesn't recommend this product!,2,Azarine Hydrashoote Sunscreen Gel,59,dewasa muda,Jangka Menengah,Oily,Light,Cool
Fajarind,2024-09-10,"Jujur aku waktu itu lagi mencari sunscreen yang cocok karena udah coba beberapa merek kurang maksimal di wajah bahkan ada yang bikin kusam dan nimbulin jerawat. Setelah ku coba pake ini bener bener ngefek banget, sangat ringan di wajah efeknya calm di kulit aku dan ga bikin kusam. Jujur dengan harga segini it works siii",Tiktok Shop,Fajarind recommends this product!,5,Azarine Hydrashoote Sunscreen Gel,59,dewasa muda,Jangka Menengah,Combination,Medium Dark,Neutral
Liamel,2024-09-03,"Bagus bangett untuk kulit aku yang kombinasi, dan suka merah”. dia tekstur nya ringan banget di kulit, dan ada sedikit sensasi cooling nya waktu dipake. Ga bikin close komedo karna dia ringan banget kayak pake moist, aku sebenernya udah cocok sama ss azarine yang biasa itu, tpi ini ternyata lebih bagus lagi kandungan nya buat kulit jerawatan",Alfamart,Liamel recommends this product!,5,Azarine Calm My Acne Sunscreen Moisturizer,70,dewasa muda,Jangka Pendek,Oily,Medium Light,Neutral
cibed,2024-09-03,"Gue menyadari sih kulit kering itu cenderung kusem makanya gue milih produk skincare yang ada kandung Vitamin C nya. Termasuk sunscreen! It works excellently for my skin. Teksturnya ringan dan ada sensasi dinginnya plus cepet meresap, dan ga ada whitecase.",Shopee,cibed recommends this product!,5,Azarine Hydramax C Sunscreen Serum,70,dewasa matang,Jangka Pendek,Dry,Medium,Neutral
salsabiladhea,2024-09-03,"Nyoba pake ini gara gara fomo semua orang beli ini wkwkwkw, ternyata di aku kulit yg kering kurang cocok, bikin agak kusam dan kurang tahan lama, seharusnya kalau kulit kering pake yang physical sunscreen, jadi yaaaa biasa aja sih ini",Shopee,salsabiladhea recommends this product!,3,Azarine Hydrashoote Sunscreen Gel,70,dewasa muda,Jangka Pendek,Dry,Light,Cool
diahry12_,2024-09-03,"Sunscreen azarine yang katanya cocok untuk all skin type termasuk tipe kulit berminyak dan acne prone, ga ada white case, hasilnya finish natural. Itu yang katanya tapi nyatanya di aku yang tipe kulit berminyak dan acne prone bener-bener cocok❤️ karena dia teksturnya gel jadi gampang di blend dan mudah menyerap. Pas dipake tuh kaya ada sensasi dingin seger gt, udh gitu beneran no white case dan hasilnya bener"" natural. Oiyaa sunscreen ini di aku juga ga bikin muka jadi kusam, soalnya ada beberapa sunscreen yang bikin muka aku jadi kusam, terus juga sunscreen ini ringan bgt di muka ❤️",Shopee,diahry12_ recommends this product!,5,Azarine Hydrashoote Sunscreen Gel,70,dewasa muda,Jangka Panjang,Oily,Medium,Neutral
m_michel,2024-09-02,"Ini sunscreen bagus banget untuk yang ga mau pake moisturizer tapi langsung suncreen, karena lemba-in nya dapet banget untuk kulit kombinasi oily mendekati normal dan normal mendekati kering kayak aku, tapi aku tetep sarankan buat pake moisturizer dulu sih biar kelembaban kulit terjaga seharian.",Shopee,m_michel recommends this product!,5,Azarine Calm My Acne Sunscreen Moisturizer,70,dewasa muda,Jangka Panjang,Combination,Light,Neutral
Salsabilaa31,2024-09-02,"sunscreen ini enak bgt dipakenya adem gitu, teksturnya gel yg gampang meresap di kulit. untuk mencerahkan kayanya biasa aja sih, cuma aku suka kalo kena mata dia ga perih dan ga ada efek yg gimana gimana selama pemakaian. sunscreennya juga melembabkan.",Shopee,Salsabilaa31 recommends this product!,5,Azarine Hydramax C Sunscreen Serum,70,dewasa muda,Jangka Pendek,Combination,Medium,Neutral
isazarine,2024-09-02,"teksturnya gel putih bening gitu, setelah diaplikasiin ke wajah gak lengket dan gak bikin sumuk. gampang bangeg diblendnya. ditimpa make up pun dia gak pelling. ohiya, dia juga bikin lembab wajah. untuk wajah berjerawat aman bgt. luvv pokonyaa",Watson,isazarine recommends this product!,4,Azarine Hydrashoote Sunscreen Gel,70,dewasa muda,Jangka Pendek,Combination,Medium,Neutral
chevonne25,2024-09-02,"it's a chemical sunscreen ya guys! secara keseluruhan tidak ada keluhan dalam menggunakan sunscreen ini pokoknya GOOD! gasalah sunscreen ini pernah menjadi sunscreen viral sampai susah nyarinya pada saat itu. okee, teksturnya gel-creamy ketika dibalurkan di wajah rasanya seperti menggunakan gel. ketika digunakan juga rasanya ringan, tidak ada baunya, mudah dibalurkan. ketika muka lagi merah2 pakai susncreen ini lumayan meredakan kemerahannya. ketika diaplikasikan di wajah perlu waktu untuk menyerap setelah itu jadi matte dikulit. tapi karena ini chemical sunscreen, diwajah oily akan menghasilkan minyak lebih banyak setelah beberapa jam sehingga lebih mudah untuk muncul komedo. mungkin untuk yang memiliki dryskin agak kurang cocok karena kurang melembapkan (bisa pakai moisturizer dulu). oh yaaa.. ini tuh ga waterproof dan sweat resistant, sehingga harus di re-apply setiap 2-4 jam sekali supaya ga gosong ya ges. setelah menggunakan sunscreen ini pokoknya kek pakai moisturizer aja gaada yang namanya whitecast, namanya juga karena chemical sunscreen. overall aku suka pakai ini karena kalau lagi breakout ini sunscreen teringan yang aku punya. jadi walaupun agak love-hate tapi dia tetap harus ada di meja skincare aku sebagai penolong ketika lagi breakout. oke, untuk hal yang aku kurang suka dari sunscreen ini, kalau makeup bisa pilling, engga makeup pun easily untuk pilling. terkadang juga karena kurang melembapkan maka dry patches ketika makeup ataupun ga makeup akan lebih terlihat. lagian bisa diakali kokkk untuk pakai balm stick dibagian dry parches, untuk pillingnya blm bisa aku temukan tips n tricknya.thankyou!!!",Shopee,chevonne25 recommends this product!,4,Azarine Hydrashoote Sunscreen Gel,70,dewasa muda,Jangka Pendek,Oily,Light,Cool
NadiaLuthfita,2024-09-01,"Udah repuscase berapa kali? Banyak! Udah 6+ ss Azarine pakenya. Dari jaman sekolah sampai dah lulus masih pake karena secocok itu sama kulitku. Pie aku perlahan memudar karena sering aku totolin pake ss Azarine ini. Mana murah lagi, sukaa sampe titik terakhir!",Tokopedia,NadiaLuthfita recommends this product!,5,Azarine Calm My Acne Sunscreen Moisturizer,88,dewasa muda,Jangka Panjang,Oily,Medium Dark,Neutral
Eli0102,2024-09-01,"Azarine hydramax c sunscreen ringan dipakenya, sydah ada kandungan vitamin C nya juga, bikin kulit terlindung dari sinar UV secara maksimal. Ada oil controlnya juga, di kulitku dia ga bikin tambah berminyak setelah diaplikasikan malah finishnya matte . Bagus buat pemakaian sehari-hari.",Indomaret,Eli0102 recommends this product!,4,Azarine Hydramax C Sunscreen Serum,88,dewasa matang,Jangka Pendek,Oily,Medium Light,Cool
atikahsaidah29,2024-09-01,"ga bisa deskripsiin ss azarine hydramax C ini. coba produk sunscreen yg lain slalu balik lagi kesini. cocok bgt buat kulit aku yg dry, ga bikin lengket, gampang bgt buat di blend, ini combo bgt kalo dipakein sm serum vit C. packagingnya oke bgt buat travel friendly, tapi kalo bisa bikin versi yg gede donggg😭❣️",Shopee,atikahsaidah29 recommends this product!,5,Azarine Hydramax C Sunscreen Serum,88,dewasa muda,Jangka Panjang,Dry,Medium,Neutral
Heidista,2024-09-01,"Setelah cocok dgn sunscreen azarine yg spf 50 serum vit C, lalu coba eksplor yang ini. Ini kemasan besarnya tinggi ya banyak (50ml) dgn harga yg sama yang spf 50 vit C (40ml). Bedanya ini finishnya lebih ke matte dan gel. Ini cocok buat oily, kl yg oren kan lebih ke dewy. Suka sama semua sunskrin azarine, karena dia ga white cast, smooth dan ga ada fragnance.",Shopee,Heidista recommends this product!,5,Azarine Hydrashoote Sunscreen Gel,88,dewasa matang,Jangka Pendek,Combination,Light,Warm
atikahsaidah29,2024-09-01,"awal awal cocok buat dikulit aku yg kering tp lama2 kerasa ga enak dan jadi bruntusan, tp kalo lg kepepet diluar lupa bw ss, varian ini gampng bgt di cari store offline . dan menurutku ini lebih cocok buat kulit normal to oily.",Shopee,atikahsaidah29 recommends this product!,3,Azarine Hydrashoote Sunscreen Gel,88,dewasa muda,Jangka Pendek,Dry,Medium,Neutral
amyunic,2024-08-28,"One of the best sunscreen!! Karena ini salah satu sunscreen yg bener-bener aman di kulit aku yg super sensitif dan super acne prone. Susah bgt nyari sunscreen yg aman di kulit aku, karena gampang perih, gampang merah, dan rentan berjerawat. Sunscreen Azarine yg ini teksturnya creamy lotion yg ringan, langsung melting di kulit, langsung menyerap, dan pas di apply ada sedikit sensasi cooling + calming. Bener-bener nyaman dipake banget, ga berat dipake aktifitas. Dan sunscreen ini ga nambah oily di tzone, tapi melembabkan di area lain. Juga ga bikin mata perih. Definisi perfect sunscreen for sensitive-acne prone skin. Apalagi harganya yg affordable. Sungkem sama Azarine!!",Shopee,amyunic recommends this product!,5,Azarine Calm My Acne Sunscreen Moisturizer,79,dewasa muda,Jangka Pendek,Combination,Light,Neutral
syifaamz,2024-08-28,"untuk wajah yang berjerawat, cocok banget di muka aku dan ga berat juga di muka. cepat meresap, buat yg acne prone boleh coba produk azarine yg spf 35 PA +++ sangat akuu di rekomendasikan. ramah dikantong dan hasilnya ga kaleng-kaleng sukakk bangettt",Shopee,syifaamz recommends this product!,5,Azarine Calm My Acne Sunscreen Moisturizer,79,dewasa muda,Jangka Pendek,Combination,Medium,Cool
mayha,2024-08-28,"Kalau pakai ini jadi gak perlu lagi pake vitamin c serum sebelum pake sunscreen, enakeun gampang diblend ringan gak bikin berminyak, lembab. Yang aku notice pake ini tu lama lama ga kusem tapi bantu mencerahkan wajah, dipake dibawah makeup juga masih aman di aku.",PR Package,mayha recommends this product!,5,Azarine Hydramax C Sunscreen Serum,79,dewasa matang,Jangka Pendek,Combination,Medium Light,Neutral
aqillahastri,2024-08-28,"Sunscreen ini tidak berbau, dan teksturnya itu seperti gel yang agak padat, ketika dituang ke tangan dia gel yg stiff gitu bukan yang cair ngalir. Walaupun teksturnya seperti gel, sepengalan aku yang pakai, susnscreen ini terasa agak berat diwajah, habis dipakai itu terasa gerah dan sumuk. Aman dari whitecast dan dikulitku sepertinya tidak bikin kucel. Dengan rangkaian skincareku dia ga peeling sih. Menurutku produk ini bagus, tapi level viralnya melebihi kualitasnya sih.",Shopee,aqillahastri recommends this product!,4,Azarine Hydrashoote Sunscreen Gel,79,dewasa muda,Jangka Pendek,Combination,Medium Dark,Warm
najwaaulia_18,2024-08-28,"beli ini pas lagi hype banget sunscreen ini, udah repurchase 2x. teksturnya ringan baget gk whitecast dan cepet nyerap ke kulit. tapi setelah pake ini tuh berasa kulit jadi kusam setelah tau ternyata ini termasuk chemical sunscreen yang memang cara kerjanya menyerap panas uv",Shopee,najwaaulia_18 doesn't recommend this product!,3,Azarine Hydrashoote Sunscreen Gel,79,dewasa muda,Jangka Menengah,Oily,Medium,Neutral
Dyann,2024-08-23,"Ss nya ringan banget dan cepet nyerepnya. Dulu pas jerawatku meradang aku masih pake dan foilaaa malah bantu dikit dikit calmingkan jeriwit dong dengan waktu yang gak singkat tentunya☺️Udah habis bertube tube ini akunya udah gak kehitung lagi, skrg sih selalu nyetok pokoknya!",Shopee,Dyann recommends this product!,5,Azarine Calm My Acne Sunscreen Moisturizer,78,dewasa muda,Jangka Menengah,Combination,Medium Dark,Warm
Maxwell94,2024-08-23,"Awalnya enak. Cepat meresap, gak ada bau yang aneh² dan proteksinya cukup ok. Tapi lama kelamaan entah kenapa muka tuh jadi berminyak banget dan kusam! Jarang jarang saya pakai chemical sunscreen itu sampai kusam di muka. Awalnya saya kira karena polusi aja tapi ternyata karena sunscreen ini. Sayang banget padahal teksturnya super nyaman buat oily combination skin",Shopee,Maxwell94 doesn't recommend this product!,3,Azarine Hydrashoote Sunscreen Gel,78,dewasa matang,Jangka Pendek,Combination,Medium Dark,Warm
