username,age,profile_description,date,review_content,usage_period,purchase_point,recommend,rating_count,jenis_produk
Faradilasaf,19 - 24,"Combination, Medium, Warm",2024-06-07,selama pake sunscreen ini muka ku ga bruntusan😍 tipe kulit ku acne jadi ga bisa pakai spf yang terlalu tinggi jadi cocok banget pake ini +++ nya ngelembabin bangettt😍 buat kamu yanh punya tipe kulit acne cocok banget si pake ini❗ pokonya harus cobain,3 months - 6 months,Shopee,Faradilasaf recommends this product!,5,Azarine Calm My Acne Sunscreen Moisturizer
milkiilate,19 - 24,"Oily, Light, Neutral",2024-06-07,"baru beberapa bulan nyobain produk ini tapi kulit aku yang acne prone ini uda jarang banget jerawatan, sebelumnya aku uda 1 th pake yang spf 50 tapi masi beruntusan, trus sempet liat podcast dr richard yang katanya lebih tinggi spf semakin menyumbat pori jadi nyobain yg calm my acne ini, ternyata cocok di aku, kulit jadi lebih seger dan lumayan nahan minyak di aku, kemerahan dan beruntusan udah jarang banget, kemasannya juga lebih kecil jadi gampang dibawa kemana-mana.",1 month - 3 months,Shopee,milkiilate recommends this product!,5,Azarine Calm My Acne Sunscreen Moisturizer
desti_ramadhani,25 - 29,"Oily, Medium Light, Neutral",2024-06-07,"Ini termasuk sunscreen yg nyaman bangett aku pake. Tipe kulitku oily jadi agak susah gampang nemuin ss yg cocok, tapi ss ini udh masuk tube ke 3 so far cocok bangett. Teksturnya mudah diserap kulit dan jadi matte kalau udh set. Ada sensasi coolingnya sedikit dan yang pastiii dia tahan oil👏🏻 recommend bgt untuk kulit sejenis",3 months - 6 months,Tiktok Shop,desti_ramadhani recommends this product!,5,Azarine Calm My Acne Sunscreen Moisturizer
Radial,25 - 29,"Normal, Medium Light, Warm",2024-06-07,Cepat meresap dan teksturnya cenderung waterbased jadi tidak berminyak sama sekali setelah dipakai. Inggredient paling aman untuk kulit sensitif atau yang mudah berjerawat. Dia tidak akan perparah. Lebih ke soothing bila ada acne di wajah.,More than 1 year,Lazada,Radial recommends this product!,5,Azarine Calm My Acne Sunscreen Moisturizer
ourisa,19 - 24,",19 - 24",2024-06-06,"sunscreen paling rekomen untuk kulit berjerawat dan sensitif, 0%alkohol, tekstur nya juga kaya moisturizer no white case,oil contol dan aku suka banget efek adem dan calmingnyai, harganya afordeble dan cocok buatt kantong pelajar huhu cinta bgt sama sunscreen azarine ini",6 months - 1 year,Shopee,ourisa recommends this product!,5,Azarine Calm My Acne Sunscreen Moisturizer
Yuznia_Widodo,30 - 34,"Combination, Medium, Warm",2024-06-06,"Ini salah satu varian sunscreen dari azarine yang diperuntukkan acne prone skin. Setelah beberapa saat dipakai feelnya ringan, tidak ada whitecast, dan menjadi matte tapi tetap lembab namun tidak lengket. ada sedikit aroma tipis mirip obat tapi tidak mengganggu. Cocok untuk kulit berminyak cenderung berjerawat.",1 week - 1 month,Shopee,Yuznia_Widodo recommends this product!,4,Azarine Calm My Acne Sunscreen Moisturizer
Yurmilani,45 and Above,"Normal, Medium Dark, Neutral",2024-06-06,"Azarine Calm My Acne Sunscreen ini sangat cocok digunakan dikulit wajahku yang suka kusam karena terpapar sinar matahari. Dengan pemakaian rutin dan teratur membuat kulit wajahku jadi terasa lebih halus, lembut dan segar. Recommended",1 month - 3 months,Shopee,Yurmilani recommends this product!,5,Azarine Calm My Acne Sunscreen Moisturizer
amoorra,18 and Under,"Oily, Medium, Neutral",2024-06-06,"Awalnya aku cuma coba coba cari sunscreen yang calming my acne, akhirnya aku ketemu produk azarine yang sesuai sama tipe kulitku, so far sunscreen azarine ini ringan semua dan cocok sama kulitku, untuk harga yang terjangkau, menurut aku ini sangat recomended",1 month - 3 months,Shopee,amoorra recommends this product!,5,Azarine Calm My Acne Sunscreen Moisturizer
blithvogze,19 - 24,"Oily, Medium, Neutral",2024-06-05,"sebenernya bagus, cuma aku kurang suka banget sama baunya, tapi ini bener bener lembab banget buat aku yang oily! aku tiap pagi biasanya suka males pake moist banyak banyak but this works so good as a sunscreen! might repurchase.",1 month - 3 months,SOGO,blithvogze recommends this product!,4,Azarine Calm My Acne Sunscreen Moisturizer
Vinna25,25 - 29,"Oily, Medium Dark, Neutral",2024-06-04,"Sangat merekomendasikan untuk kulit yang only, teksturnya sangat ringan dan tidak membuat wajah berjerawat. Spfnya tidak terlalu tinggi jadi tidak membuat wajah makin berminyak. Sudah pernah diuji spfnya dan hasilnya akurat sebesar 35 spf.",6 months - 1 year,Alfamart,Vinna25 recommends this product!,5,Azarine Calm My Acne Sunscreen Moisturizer
Syaviradevianty,25 - 29,"Combination, Light, Warm",2024-06-04,"Sunscreennya ringan bgt bgt langsung nyerep di kulit malah ga kayak pke sunscreen, ga bikin muka kek dempul yg hikin putih abu abu gitu, aman bgt buat acne prone skin krn jadi ga nyumbat pori pori, harga nya jg murah bgy + gampang di temuin dimana aja",3 months - 6 months,Shopee,Syaviradevianty recommends this product!,5,Azarine Calm My Acne Sunscreen Moisturizer
asyifadwi,18 and Under,"Oily, Medium, Warm",2024-06-03,"setelah sekian lama nyari sunscreen yang cocok buat acne prone AKHIRNYA KETEMU SAMA INI PRODUK. dia tekstur nya cream tapi kaya gel , gak ada wangi yang ganggu juga, kemasannya mungil bisa dibawa traveling, untuk harga segitu menurut aku with it , banyak tersedia di minimarket juga.",Less than 1 week,Shopee,asyifadwi recommends this product!,5,Azarine Calm My Acne Sunscreen Moisturizer
agenesya,30 - 34,"Oily, Medium Light, Neutral",2024-06-01,"Nyerap di muka & hasil nya jadi skin tone di wajah aku. Wajib beli sih untuk sunscreen seperti ini, karna kerasa banget di muka kalau kita pake sunscreen. Untuk hasil max jangan lupa reapply yaaaaaaa gengs",Less than 1 week,Instagram,agenesya recommends this product!,5,Azarine Calm My Acne Sunscreen Moisturizer
canaconstance,25 - 29,"Oily, Medium Dark, Warm",2024-05-22,"Aku pakai pertama karena kondisi jerawat lagi parah parahnya, beli ini karena hopeless pakai sunscreen yang lain bikin tambah jerawat.waktu aku pakai ini yang aku rasakan adalah1. Dia mudah di serap jadi untuk orang dengan kondisi kulit oily harusnya amanbanget2.. Jerawat di wajah aku ga bertambah3. buat kondisi di ruangan AC malah jadi kering parah tapi kalau di outdoor enak cuma kekurangannya spfnya cuma 35.kalau untuk daily di ruangan biasa bukan AC aku suka sih ini, tapi kalau untuk di pakai keluar ruangan agak kurang.",3 months - 6 months,Shopee,canaconstance recommends this product!,4,Azarine Calm My Acne Sunscreen Moisturizer
rheavira,18 and Under,"Oily, Light, Cool",2024-05-21,"Dia gak aman di kulit aku yang sensitive acne prone skin malah bikin pie makin meradang dan sakit :((. Tapi dia oil controlnya bagus. bagi org org yg blg ga bagus dibawah makeup, kyknya gara gara ini water based sementara makeup lokal itu kebanyakan silicone based makanya ga nyatu dan bikin cakey. kalau makeupnya water based pasti bagus kok dibawah makeupp",1 month - 3 months,Shopee,rheavira doesn't recommend this product!,2,Azarine Calm My Acne Sunscreen Moisturizer
dictakurniawan,19 - 24,"Combination, Medium, Warm",2024-05-21,"Paling suka sama sunscreen gel karena gampang diblend dan gampang meresap...diwajah aku yang kombinasi cocok banget, harga nya kantong pelajar dan ringan dipakai nya spf nya 35 PA+++ untuk yang punya kulit berjerawat sunscreen ini rekomend banget",1 month - 3 months,Shopee,dictakurniawan recommends this product!,5,Azarine Calm My Acne Sunscreen Moisturizer
Triwahyuni00,19 - 24,"Oily, Medium, Warm",2024-05-21,"Salah satu produk skincare yang bakal ku repurchase lagi dan lagi, karena emang secinta itu sama ss-nya Azarine calm my acne. Ss-nya cocok buat kulitku yang berminyak berjerawat, gak bikin nambah minyak, gak bikin kusam, gak nyumbat pori juga.",More than 1 year,Shopee,Triwahyuni00 recommends this product!,5,Azarine Calm My Acne Sunscreen Moisturizer
Nancy_cycy,18 and Under,"Combination, Medium, Neutral",2024-05-18,VERY VERY MOISTURIZING 💦💦 tekstur nya gel yang lumayan thick tapi dia gampang meresap. Ga luntur dan ga whitecast. No fragrance jadi super nyaman untuk di pake. Ga perih di mata. Gampang untuk di cari di mana-mana jadi ga usah panik kalo abiss,1 week - 1 month,Gift,Nancy_cycy recommends this product!,5,Azarine Calm My Acne Sunscreen Moisturizer
minty,19 - 24,"Oily, Light, Cool",2024-05-18,"Ini my go to sunscreen kalau kulit lagi ngamuk-ngamuknya. Kemerahan, jerawat ataupun banyak whiteheads kalau terpaksa keluar rumah bakal pakai ini! Ada cooling effectnya waktu di apply jadi ngurangin rasa gatel juga kalau wajah lagi iritasi. Gampang di blend dan finishnya matte jadi aku suka banget! My holygrail btw dan dengan harga segitu beneran aman buat dompet! Pokoknya kalau sampai product ini di discontinue bakal aku acak-acak gudang azarine 😭",1 month - 3 months,Shopee,minty recommends this product!,5,Azarine Calm My Acne Sunscreen Moisturizer
motty12,19 - 24,"Oily, Medium Dark, Warm",2024-05-18,"Pertama kali bisa nemuin sunscreen yg cocok di wajah aku, iseng2 beli di minimarket ternyata secocok itu dan super ringan di pake ke wajah, gak bikin jerawatan, harganya murce bnget. Klo di apply agak ada sensasi dingin2 gitu, kontrol minyak di wajahh",1 month - 3 months,Indomaret,motty12 recommends this product!,5,Azarine Calm My Acne Sunscreen Moisturizer
diannovv11,19 - 24,"Combination, Medium, Cool",2024-05-17,Sejauh ini masih menjadi sunscreen terbaikku. Udah abis 3 tube dan beneran nyaman banget feels pas dipakainya. Teksturnya gel yang gampang di blend dan mudah meresap. Untuk kulitku yang oily dan acne prone skin aman banget,More than 1 year,Shopee,diannovv11 recommends this product!,5,Azarine Calm My Acne Sunscreen Moisturizer
rhmi_aul,18 and Under,"Oily, Light, Cool",2024-05-17,"suscreen ini ngaruh bgt buat ngilangin bekas jerawat aku,kulit aku tipe oily tpi pas pake sunscreen ini dia kyk bikin kulit aku jadi ga berminyak lagi,tekstur sunscreen nya ringan bgt yg kyk diratain langsung nyerap gtu,sumpah cinta bgt sama ni sunscreen💟💟",3 months - 6 months,Shopee,rhmi_aul recommends this product!,5,Azarine Calm My Acne Sunscreen Moisturizer
ikvjou,19 - 24,"Combination, Medium Light, Warm",2024-05-15,"SUNSCREEN KECINTAAN AKU SAAT INI💕 Untuk pemilik kulit oily and acne prone ini bagus banget. Di kulitku yang sensitif juga enggak nimbulin efek yang aneh-aneh. Selain itu teksturnya juga enak banget, saat di apply ke wajah langsung nyerep, matte gitu, dan enggak bikin kusam juga. Untuk aktivitas indoor, pake sunscreen ini aja udah cukup. LOVE BANGET💕",3 months - 6 months,Shopee,ikvjou recommends this product!,5,Azarine Calm My Acne Sunscreen Moisturizer
rchma,18 and Under,"Combination, Medium, Neutral",2024-05-15,10/10 jujur ini enak banget adem sejuk gitu dan dia enggak lengket sama dengan yang varian birunya the besttt sesuka itu n hargagausah di ragukan lagi muraaahhh kantong mahasiswaa ini mah jdi ga pelit ngeluarin sebanyak apapun krnaa se ringann ituu😍,3 months - 6 months,Shopee,rchma recommends this product!,5,Azarine Calm My Acne Sunscreen Moisturizer
miafalatehan,25 - 29,"Combination, Medium Light, Neutral",2024-05-14,"Cinta bangeeet! Awalnya beli karena iseng aja liat ada di Indomaret. Eh ternyata cocok banget di kulit acne-prone ku. Gak bikin tambah berminyak. Gak bikin bruntusan. Dan malah beneran bisa nenangin kulit yang 'ngamuk'. Padahal malemnya ngamuk, lalu paginya pakai ini, dan sorenya itu bruntusan mulai lenyap. Jangan pernah ganti formula please. Susah banget nyari yang cocok begini.",3 months - 6 months,Indomaret,miafalatehan recommends this product!,5,Azarine Calm My Acne Sunscreen Moisturizer
adelyanp,19 - 24,"Oily, Medium Light, Warm",2024-05-13,"It’s a winner for my oily, breakout-prone skin. It's like a lightweight shield that protects from sun damage without clogging pores or causing irritation. The gel texture feels refreshing and absorbs quickly, leaving a smooth finish that works well under makeup. Plus, it doesn't leave a bothersome white cast, which is a major win for me. While the SPF 35 might not be ideal for extended sun exposure, it's perfect for daily wear and errands. The price tag is another perk, making it a budget-friendly favorite for acne-prone skin",3 months - 6 months,Shopee,adelyanp recommends this product!,4,Azarine Calm My Acne Sunscreen Moisturizer
auliaadwii,19 - 24,"Oily, Medium, Neutral",2024-05-13,"Suka banget sama sunscreen azarine calm my acne moisturiser, teksturnya ringan mudah menyerap trus yang pasti gak lengket. Rekomended banget buat kulit yang berjerawat karena Spf nya jg tidak terlalu tinggi jadi gk membuatcomedogenic",1 month - 3 months,Shopee,auliaadwii recommends this product!,5,Azarine Calm My Acne Sunscreen Moisturizer
shrn4,19 - 24,"Combination, Medium, Warm",2024-05-12,"untuk seukuran produk lokal ini bagus sih. teksturnya krim yg gampang diblend. dia ga ada whitecast, ga ada fragrance apa (tp jadi bikin baunya aku kurang suka🥹) trs gaada alkoholnya (tp pas awal2 pemakaian aku ada cekit2 dikit dilipatan hidung, lama2 engga si, kecuali di jerawat yg terbuka jd perih dikit abis itu engga). dia ga bikin muka yg berminyak jd tambah minyakan woyyy bagusss sebenernya. tp yg bikin agak kureng itu knp sejak pakai ini aku jd bruntusan🥹😭",1 month - 3 months,Lazada,shrn4 recommends this product!,4,Azarine Calm My Acne Sunscreen Moisturizer
vhiuraa,19 - 24,"Oily, Medium Dark, Neutral",2024-05-09,"Bagus banget buat kulit aku yg acne-prone oily sensitive, soalnya aman di muka dan engga bikin kemerahan/sakit cekat-cekit/breakout. Belum lagi harganya affordable dan gampang di blend, juga engga bikin efek abu-abu gitu pas diapply. Downsidenya satu, SPF-nya cuma 35 sayang banget, kalo bisa sampe 50 ini bagus banget sih. Overall, layak dicoba pokoknya!",3 months - 6 months,Shopee,vhiuraa recommends this product!,4,Azarine Calm My Acne Sunscreen Moisturizer
Imroatul,19 - 24,"Oily, Medium, Warm",2024-05-08,senengg bgt akhirnya nemu sunscreen yg bener2 cocok dimuka ku yg rewel ini. tekstur nya gel gampang diapply gitu. nggak kerasa berat samsek. buat kulit oily ato yang lagi jerawatan cobain deh ini rekomen bgtt. repurchase? ofc yess,1 week - 1 month,Traditional Market,Imroatul recommends this product!,5,Azarine Calm My Acne Sunscreen Moisturizer
herlibq,25 - 29,"Combination, Medium Light, Cool",2024-05-07,"Pakai sunscreen ini udah setahun lebih karena emang enak banget di pakai saat jerawatan gak bikin gerah , gak lengket bener2 menyerap kaya air aja gitu Yang hijau ini lebih ringan lagi di banding yang biru si menurutku, baunya juga ngga yang aneh2",More than 1 year,Lazada,herlibq recommends this product!,5,Azarine Calm My Acne Sunscreen Moisturizer
Dianset,25 - 29,"Dry, Medium, Warm",2024-05-06,"Sunscreen yang udah lama seliweran di timeline aku, baru kesampean nyobain sekarang. first time ngerasain tekstur nya, langsung relate kenapa ini viral banget. se-ringan itu, boom! 🤯 Ringan, ngga lengket, aromanya juga ngga aneh, ngga bikin whitecast,seperti ngga pake apapun. Aku baru nyoba sekali aja udah jatuh cintong, sayangnya kekurangan produk ini spfnya sih, cukup rendah. Mau nyobain varian lain!",Less than 1 week,Shopee,Dianset recommends this product!,5,Azarine Calm My Acne Sunscreen Moisturizer
anisaaasym,19 - 24,"Combination, Medium, Neutral",2024-05-05,"teksturnya cair dan gampang banget dibland gampang nyerep, ga munculin tone up yang berlebih (ga bikin abu"") cocok untuk semua jenis kulit, dan yang pasti ringan bgt dipake, ga bikin lengket jugaaa melembabkan, menjaga dari sinar UV mantap banget lah pokonya",1 month - 3 months,Shopee,anisaaasym recommends this product!,5,Azarine Calm My Acne Sunscreen Moisturizer
nabilah_disya,19 - 24,"Oily, Light, Neutral",2024-05-05,"Udah setahunan ga ganti sunscreen soalnya cocok banget sama sunscreen azarine, cocok banget di kulit aku yang super berminyak, cepet banget nyerap ke kulit, tekstur nya ringan, no white case, ga peel off, ditimpa makeup di atasnya pun ga ngegeser make up nya sama sekali",More than 1 year,Shopee,nabilah_disya recommends this product!,5,Azarine Calm My Acne Sunscreen Moisturizer
sxnooe,18 and Under,"Oily, Medium Light, Neutral",2024-05-04,"one of the best sunscreen after skin angel's!! suitable for oily acne prone skin,,finishnya matte di aku+no added fragrance+calms my active acne. super duper affordable and definitely would purchase again🩷🩷",1 month - 3 months,Watson,sxnooe recommends this product!,5,Azarine Calm My Acne Sunscreen Moisturizer
yayaalutvia,19 - 24,"Normal, Medium Light, Neutral",2024-05-04,"Pake Azarine belum satu tahun, tapi efeknyaa udahh kerasaa bangettt. Wajah jadi lebih terlindungi, terus gak bikin jerawatt, selain itu teksturnyaa jugaa lembut. Dan yang paling woww ituu harganyaa bener² worth it untuk kantong mahasiswaa.",3 months - 6 months,Tokopedia,yayaalutvia recommends this product!,5,Azarine Calm My Acne Sunscreen Moisturizer
chrryspearss,19 - 24,"Oily, Medium Light, Neutral",2024-05-04,"teksturnya ringan banget cepat meresap, gaada bau yang aneh aneh, harnyanya super affordable, dari dulu suka banget sama sunscreen dari azarine ini, sekarang sunscreen nya aja udah ada untuk masing masing tipe kulitt jadi makin nyaman pakainya",1 month - 3 months,Tiktok Shop,chrryspearss recommends this product!,5,Azarine Calm My Acne Sunscreen Moisturizer
jianww12,19 - 24,"Oily, Medium, Neutral",2024-05-04,"Ga nenangin jerawat, entahlah mungkin di aku ga cocok. Waktu pakai ini rasanya muka jadi ketarik terus kusam, ga bikin wajah jadi berminyak, tapi jadi kering dan rasanya gak nyaman.Yah intinya cocok cocokan aja, kondisi tiap kulit wajah orang beda.",1 week - 1 month,Shopee,jianww12 doesn't recommend this product!,2,Azarine Calm My Acne Sunscreen Moisturizer
DiniOktavia_W,19 - 24,"Oily, Light, Neutral",2024-05-04,Suncreen favorite aku di tahun ini yaitu azarine ini si hijau kecil ini bikin kuliat aku yang oily jadi lebih sehat dan enak banget di pakeknya teksturnya cremy gel mudah meresap diaplikasikan nya ada sensasi cool gitu kalo di pake dan gak bikin muka kita jadi kusem. terdebest sih ini,6 months - 1 year,Shopee,DiniOktavia_W recommends this product!,5,Azarine Calm My Acne Sunscreen Moisturizer
Afniem_,19 - 24,"Combination, Medium, Neutral",2024-05-04,"Alhamdulillah baru pertama pake sunscreen azarine yg ini ternyata enak banget, ringan gak lengket, Alhamdulillah cocok, stelah menjelajah dunia per skincare an baru kali ni dpt yg klik bgt d wajahku, terutama dg jenis kulitku yg sensitif ini, thanks azarine",1 month - 3 months,FD Try and Review,Afniem_ recommends this product!,5,Azarine Calm My Acne Sunscreen Moisturizer
fasyanrw,19 - 24,"Combination, Medium, Neutral",2024-05-03,"Kalau udh dipake lebih dari satu tahun BERARTI COCOK BGT DIMUKAKU. Awalnya pake yg sunscreen biasa, trs keluar seri ini langsung coba dan BAGUS BGT. Dia tipe yg cepet nyerep dan gak lengket. Dia juga ngebantu buat calm acne aku soalnya makin lama makin better. Walau ada moistnya ttp harus pake moist yaa, krn ini sifatnya aja yg kaya moist. Di mukaku yg berminyak ini gak bikin minyakan banget, bagus pokoknya",More than 1 year,Shopee,fasyanrw recommends this product!,5,Azarine Calm My Acne Sunscreen Moisturizer
sayturnus,19 - 24,"Oily, Medium Dark, Neutral",2024-05-03,"ga expect bakal suka sama sunscreen ini sih. teksturnya light dan cepet menyerap ke kulit, ga bikin kusam, dan yg paling penting ga ada whitecastnya! untuk kulit oily kaya aku dia ga bikin sumuk/cepet berminyak alias nahan minyak bgt! so far so good dan bakal repurchase absolutely!",1 week - 1 month,Shopee,sayturnus recommends this product!,5,Azarine Calm My Acne Sunscreen Moisturizer
amw118,18 and Under,"Combination, Medium Light, Cool",2024-05-02,"Saya awalnya beli karena sunscreennya Azarine viral sih, ya walaupun varian yang lebih famous itu yang gel dan bukan yang ini. Tapi karena harganya murah ya sudah saya coba saja, sekalian karena suncreen saya habis. Teksturnya cream, agak thick tapi cukup gampang diserap. Moisturizing juga dan cocok buat base bedak. Cuma yang agak noticeable, product ini kadang agak panas dan nyelekit di bagian kulit yang berjerawat. Padahal claimnya ini kan sunscreen untuk acne, tapi rasanya kurang comfortable untuk kulit berjerawat yang lagi sensitif. But overall untuk performanya sebagai sunscreen dengan harga segini, okelah.",1 month - 3 months,Alfamart,amw118 recommends this product!,4,Azarine Calm My Acne Sunscreen Moisturizer
maahirah,18 and Under,"Combination, Medium Light, Neutral",2024-04-30,"I REALLY LOVEE THISS PRODUCTT!!! Sunscreen teringan dan ga bikin breakout sama sekali. Texturenya light, no whitecast, cocok untuk kulit oily, dan walaupun lagi jerawatan ga bikin tambah breakout. Untuk efek calming acnenya di aku kurang berpengaruh sih, cuman untuk breakout skin aman sih ini.",3 months - 6 months,Shopee,maahirah recommends this product!,5,Azarine Calm My Acne Sunscreen Moisturizer
Sooleeha,25 - 29,"Oily, Medium Light, Neutral",2024-04-30,"Suka banget sama ss ini, dr segala hal ini ss ternyaman dipakai sama dikantong juga. Dipake di bawah makeup juga bagus ga bikin longsor. Buat reapply juga enak. Aku reapply klo abis sholat Dzuhur. Tapi ga tahu kenapa mukaku tetep belang. Apa kurang tinggi spfnya? Atau kurang sering reapply nya ya? Mau pindah ke yang lain tapi belum Nemu yang cocok. Jadi antara cinta dan bingung yang kurasa ini.",6 months - 1 year,Shopee,Sooleeha recommends this product!,4,Azarine Calm My Acne Sunscreen Moisturizer
Priscillaya,18 and Under,"Oily, Medium Light, Neutral",2024-04-30,"One of the best sunscreen yg perna aku cobaaaa!! teksturnya watery gel, g ad bau yg aneh2, aman buat acne prone skin, cepat menyerap + ga bkin greasy, harganya jugaa affordablee banget gampang di cari di mana-mana produknya, oke jg buat base makeup",1 month - 3 months,Guardian,Priscillaya recommends this product!,5,Azarine Calm My Acne Sunscreen Moisturizer
Noyiiiel_,18 and Under,"Oily, Medium, Neutral",2024-04-29,"Ini sunscreen pertama yang aku pakai dan SEBAGUS ITU!!!!! 10/10 di aku yang kulitnya sensitif, berjerawat, berminyak ga bikin nambah jerawat Tekstur nya juga ringan banget, cepat menyerap POKOKNYA BENERAN SEBAGUS ITU !!!!! 10/10 ♡♡♡♡♡",6 months - 1 year,Tiktok,Noyiiiel_ recommends this product!,5,Azarine Calm My Acne Sunscreen Moisturizer
tupaigoreng,19 - 24,"Combination, Medium Light, Neutral",2024-04-27,"jujurly aku suka bangeettt texturenya 🥹 tapii ga cocok samsek dimukaku huhuhu. honestly really wished this would work out karna testurnya ringan kayak moisturizer biasaa. tapi turns out dia nimbulin jerawat kecil-kecil besoknya 🥲 akhirnya aku ngasih ke pacarku aja, and di kulit dia bagus-bagus aja sih. sepertinya emang kulitku yang gak cocok sama sunscreen deh 😭",1 week - 1 month,Shopee,tupaigoreng doesn't recommend this product!,2,Azarine Calm My Acne Sunscreen Moisturizer
genn,19 - 24,"Oily, Light, Neutral",2024-04-26,"Gue make produk ini malah jadi timbul beruntusan di dahi dan pipi. Padahal dia cepat banget nyerapnya dan ngelembabin kulit gue, sayang bngt malah ga cocok make produk inii huhuhu. Kan awalnya gue kira emang purging kan yah, trus gue tes deh sampe nih produk habis dan beruntusan gue malah makin parah. Yauda sih gitu doang",1 month - 3 months,Shopee,genn doesn't recommend this product!,2,Azarine Calm My Acne Sunscreen Moisturizer
Rinikamalia,25 - 29,"Oily, Medium, Neutral",2024-04-25,"Di kulitku yang oily dan acne prone ini, approved bangettt. Setelah pakai, kulit lembab, oil control nya dapet, beneran kalemin kulit. Terus teksturnya juga lebih mirip moisturizer gel gitu. Ada jerawat, bener bantu calming. murce pula",6 months - 1 year,XBeauty by Female Daily,Rinikamalia recommends this product!,5,Azarine Calm My Acne Sunscreen Moisturizer
gitalova,18 and Under,"Dry, Medium Light, Cool",2024-04-23,"akhirnya setelah purnama aku nemu sunscreen yang cocok bgt>< teksturnya enak jadi ngelembabin, hasilnya bikin kulit lembut masaa.trus after diaply dia ga bikin kusam,jadi makin pede keluar dehhh.karna biasa aku tiap make ss jadinya kusam berminyak,waktu make ini nggaa.so im in love to this👊👊💐🌷",Less than 1 week,Shopee,gitalova recommends this product!,5,Azarine Calm My Acne Sunscreen Moisturizer
capriull,25 - 29,"Combination, Medium Light, Neutral",2024-04-19,"Produk ini cocok banget buat kulit yang berjerawat, aku juga waktu pakai produk ini kulit jadi terasa lembab, kulit berjerawat jadi teratasi, dan teksturnya juga creamy. Produk ini recommended banget loh, bisa beli di Female daily ataupun E-commerce lainnya🥰",1 week - 1 month,Shopee,capriull recommends this product!,5,Azarine Calm My Acne Sunscreen Moisturizer
Ayakamelody,25 - 29,"Oily, Medium, Neutral",2024-04-15,"Saya suka sekali produk ini. Kulit saya berminyak dan mudah jerawatan. Tapi, akhir-akhir ini makin sensitif daerah hidung, sekitar mulut dan pipi. Setelah hanasui collagen serum habis, saya coba beli ini karena ga ketemu. Ini sdh 2 kali saya pakai calm my acne dan habis. Masih coba pesan online lagi. Kandungan simple. Saya liat beneran ga ada parfum, alkohol, pewarna, mineral oil. Lebih aman. Tapi hasilnya matte. Teksturnya light gel. Cepat meresap ke kulit dan finish kering. Harus cepat dibaurkan. Ga bikin gatal di kulitku. Padahal chemical sunscreen. Memang ga whitecast dan ga panas gitu. Saya pakai bersamaan facial cleanser you yg anti bactery dan hada labo lotion. Puji Tuhan. Jerawat batu hilang. Mungkin juga pas lagi datang bulan makanya muncul banyak jerawat bikin risih. Buat kulit kombinasi (ada bagian kering), kayaknya kurang cocok pakai yang ini. Soalnya hasilnya matte. Ga terlalu moist/intense hydrating gitu.",1 month - 3 months,Shopee,Ayakamelody recommends this product!,5,Azarine Calm My Acne Sunscreen Moisturizer
deytitaa,19 - 24,"Oily, Medium Light, Neutral",2024-04-14,bagus banget ga expect berawal dari iseng mau cobain ternyata cocok dikulit aku yg oily acne prone terus juga ga bikin bo dan whitecast🥹🤍sensasi pemakaiannya berasa dingin2 gitu huhu suka banget tapi disini minusnya cuma di bau nya aku kurang suka it's oke gapapa tetep suka,3 months - 6 months,Indomaret,deytitaa recommends this product!,5,Azarine Calm My Acne Sunscreen Moisturizer
hana_flow_,18 and Under,"Combination, Medium, Neutral",2024-04-13,"ini sunscreen terbagussssss! jsjsskejdjdjsjnsnskskks harga nya murah cepet meresap kekulit ada sedikit tone up nya tapi gak yang lebay sampai abu abu ga minyakan jugaaa di kulit buat acne juga engga perih bagus deh, buat harga segitu worth to try",1 month - 3 months,Official Brand Store,hana_flow_ recommends this product!,5,Azarine Calm My Acne Sunscreen Moisturizer
Stefaneyy,18 and Under,"Oily, Medium Light, Neutral",2024-04-12,"Skin type ku oily with acne. INI WUENAKKK POLL SS NYAA. Teksturnya ringan & finishnya mate gitu. Menurutku dia juga lumayan oil control. Biasanya setengah jam itu hidungku udah kayak kilang minyak tapi pake ini setengah jam masih aman. Dia juga ga trigger jerawatku tapi kadang bikin bruntusan, kadang engga. OVERALL BAGUSSS",1 month - 3 months,Dan+Dan,Stefaneyy recommends this product!,5,Azarine Calm My Acne Sunscreen Moisturizer
CheeseT,30 - 34,"Oily, Medium, Neutral",2024-04-11,"➕Jadi varian sunscreen azarine paling favorit! Lebih enak dibanding hydrasooth. Lumayan membantu pas kulit lagi ngamuk dan berjerawat, lebih ada efeknya dibanding yg biru. Ada sensasi dingin, walau ga sedingin hydrasooth atau cicamide barrier, tapi teksturnya lebih enak ini. Cocok bgt di kulit oily-ku, ga bikin becek, ga greasy. Ga ada whitecast. Cepat meresap dan bagus di bawah make up. ➖Packagingnya ntah mengapa ga enak, kalau isi tinggal setengah sampai udah mau abis itu susah keluarin produknya, tapi sekalinya bisa keluar muncrat banyak banget. ✔️Repurchase? Yes!",1 month - 3 months,Shopee,CheeseT recommends this product!,5,Azarine Calm My Acne Sunscreen Moisturizer
